feature,ks_stat,ks_p,wasserstein,ref_mean,target_mean,ks_significant
PS4_mean,0.0691609977324263,0.06651356260366574,0.15118991360025488,-2.5175125274946862e-17,0.1510729068100653,False
PS4_rms,0.06802721088435375,0.07427063752334633,0.14781221707118258,6.545532571486184e-18,0.14769495120123305,False
PS4_min,0.07142857142857142,0.05305385528274763,0.14515679594468367,2.6182130285944735e-17,0.1450416198838721,False
EPS1_ptp,0.07766439909297052,0.027436954107388636,0.1447960639875233,1.8730293204560465e-16,-0.1431154132517278,True
CE_min,0.08163265306122448,0.01752293692630283,0.14473870800454927,1.1681258127575342e-16,0.14369777007115328,True
CE_mean,0.08049886621315193,0.019963426694357238,0.14322207846036672,3.222416035193198e-17,0.14224317198323208,True
CE_rms,0.08049886621315193,0.019963426694357238,0.1431713835089625,1.732048618916344e-16,0.14219621134454077,True
CE_max,0.08163265306122448,0.01752293692630283,0.14296217712738943,-5.840629063787671e-17,0.14234112310578023,True
CP_skew,0.08503401360544217,0.011720928401534231,0.14076768687094843,-3.6252180395923476e-17,0.13096974210234344,True
EPS1_min,0.07539682539682539,0.03509528253701764,0.13741919598627156,9.0489470288269e-15,0.13725563070628072,True
PS3_ptp,0.09523809523809523,0.00317793610069086,0.1366942484070267,1.4369961506939668e-15,-0.12173539514009023,True
PS3_max,0.09523809523809523,0.00317793610069086,0.1366942484070267,1.4369961506939668e-15,-0.12173539514009023,True
PS6_min,0.07199546485260772,0.05008101401496665,0.13628384615737435,6.344131569286609e-16,0.13597425989717699,False
PS5_min,0.07426303854875284,0.039583678537163054,0.13584645624150307,-4.7329235516900097e-17,0.13561744168516654,True
PS6_mean,0.07199546485260772,0.05008101401496665,0.135528204107977,7.834498985563463e-16,0.13520786449289057,False
PS6_rms,0.07199546485260772,0.05008101401496665,0.13552799692502115,-1.668607303223478e-15,0.1352075764472888,False
PS6_max,0.07256235827664399,0.047253187410013935,0.1353583301814776,-5.45796715960848e-16,0.13506055330803451,True
PS5_mean,0.07369614512471655,0.042009994370137235,0.13532129083911462,-1.155034747614562e-15,0.1349682442464978,True
PS5_rms,0.07369614512471655,0.042009994370137235,0.13532105662097602,-1.0070050109978744e-15,0.13496792715885383,True
CP_min,0.09183673469387756,0.004991555980978192,0.13529111947444122,1.0070050109978744e-17,0.12907634023470438,True
PS5_max,0.07312925170068027,0.04456469548582795,0.13503563426415793,1.5870398973326501e-15,0.13460087754894665,True
PS1_ptp,0.07086167800453515,0.05617752457426256,0.13378552025431922,-1.7985109496422038e-15,-0.13270302330620493,False
EPS1_max,0.08333333333333333,0.014360751263263617,0.1331275156500654,-1.802538969686195e-15,0.1315377282309611,True
CP_max,0.06859410430839002,0.07030121934767267,0.13217636343614494,3.6856383402522205e-16,0.1270608390813196,False
CP_mean,0.08049886621315193,0.019963426694357238,0.13205182871634982,6.404551869946481e-16,0.12552312425025294,True
CP_rms,0.08049886621315193,0.019963426694357238,0.13191278718521166,-1.5105075164968116e-16,0.1254073501861492,True
PS1_min,0.06972789115646258,0.06290124748009555,0.1314791852909783,2.718913529694261e-16,0.1307863868470237,False
TS2_min,0.0844671201814059,0.012547738941118434,0.13118888468764311,-1.7018384685864078e-16,-0.13032735875482482,True
TS2_mean,0.08049886621315193,0.019963426694357238,0.13090966106788515,2.799473930574091e-16,-0.1302116771682166,True
TS2_rms,0.08049886621315193,0.019963426694357238,0.13090914732775713,-1.0271451112178319e-16,-0.13021148376893843,True
TS2_max,0.07766439909297052,0.027436954107388636,0.130572417551953,-7.0490350769851205e-16,-0.12989011085375587,True
TS4_max,0.07539682539682539,0.03509528253701764,0.12998376846560666,-4.591942850150307e-16,-0.1298618475251299,True
TS4_rms,0.07766439909297052,0.027436954107388636,0.1296884377719447,4.632223050590222e-16,-0.1295387795277323,True
TS4_mean,0.07766439909297052,0.027436954107388636,0.12968496157118656,6.374341719616545e-16,-0.1295351843667284,True
TS1_rms,0.07596371882086168,0.03302309682596674,0.12958491551094167,4.914184453669627e-16,-0.12941367363579256,True
TS1_mean,0.07596371882086168,0.03302309682596674,0.12958462046674007,1.2305601234394026e-15,-0.129413430477005,True
TS1_min,0.07539682539682539,0.03509528253701764,0.12958219276104782,-5.186075806639053e-16,-0.12931298151543816,True
TS4_min,0.07312925170068027,0.04456469548582795,0.12953359183306934,-6.444832070386396e-16,-0.12933678761528186,True
TS1_max,0.07426303854875284,0.039583678537163054,0.1294962307929976,-1.8931694206760039e-16,-0.12935858402902728,True
VS1_rms,0.0782312925170068,0.025769868567132287,0.12934052182157868,-1.0200960761408468e-15,-0.1248613895176015,True
TS3_max,0.07256235827664399,0.047253187410013935,0.12888747496377262,9.475917153489997e-16,-0.12869865035263722,True
TS3_rms,0.07993197278911565,0.0212937303817154,0.12885071576529877,-2.2154110241953238e-17,-0.1285906352218839,True
TS3_mean,0.07993197278911565,0.0212937303817154,0.12885065314164348,3.806478941571965e-16,-0.12859049010062898,True
TS3_min,0.07142857142857142,0.05305385528274763,0.12873049061425576,-4.289841346850945e-16,-0.12840272351342566,False
VS1_mean,0.07879818594104308,0.02419303153757217,0.1283322451687335,-4.3653667226757855e-16,-0.1250694478755011,True
FS2_max,0.07369614512471655,0.042009994370137235,0.12751635447826956,2.799473930574091e-15,0.12697096753825332,True
TS1_std,0.07709750566893424,0.029198556755262242,0.12527793119203504,-1.3836248851110794e-15,-0.10206316414279015,True
FS2_rms,0.07086167800453515,0.05617752457426256,0.1251587248028491,4.264666221575998e-15,0.12433294599465239,False
FS2_mean,0.07086167800453515,0.05617752457426256,0.12515863540863892,1.820665059884157e-15,0.12433262846485288,False
FS2_min,0.07029478458049887,0.05945796537414544,0.1233714187682843,-1.7441326790483185e-15,0.12283063849391465,False
PS4_max,0.0691609977324263,0.06651356260366574,0.12328987695369811,-9.465847103380019e-17,0.12317358104915335,False
PS1_max,0.0844671201814059,0.012547738941118434,0.12007830342005817,-1.688948804445635e-14,0.11663912626645742,True
PS3_kurt,0.07256235827664399,0.047253187410013935,0.11951933948569034,1.7018384685864078e-16,-0.11834319712502193,True
VS1_min,0.07086167800453515,0.05617752457426256,0.11549210088260914,-1.867994295401057e-15,-0.11254289281381877,False
CP_kurt,0.06292517006802721,0.11927941520084044,0.114774084610281,-5.437827059388522e-17,0.10274631948121567,False
PS3_std,0.06405895691609978,0.10770519632859851,0.11389381183111834,2.0422061623036892e-15,0.10507517081926084,False
TS1_ptp,0.06065759637188209,0.14548714958420597,0.11040891625166896,5.921189464667501e-16,-0.09717237347422213,False
VS1_max,0.07993197278911565,0.0212937303817154,0.10981513681224433,-3.0915053837634746e-16,-0.10129112439680753,True
EPS1_mean,0.07142857142857142,0.05305385528274763,0.10900282296914551,3.629246059636339e-15,0.08878745808092157,False
PS6_skew,0.07142857142857142,0.05305385528274763,0.10886701922395896,3.3734667868428795e-17,-0.09655415236038196,False
CE_skew,0.061224489795918366,0.13853528514528815,0.1073106231466802,-3.826619041791923e-17,0.10453515671029896,False
EPS1_rms,0.07029478458049887,0.05945796537414544,0.10602770366312075,-2.374517815932988e-15,0.08592745191785865,False
TS2_std,0.0963718820861678,0.002723899124927205,0.10602322670577935,-9.405426802720146e-16,-0.08682147658184286,True
PS5_skew,0.048752834467120185,0.36451431356790204,0.1054205771016952,1.1278456123176193e-16,-0.08404298904911284,False
TS1_skew,0.06179138321995465,0.13185469031793948,0.09725047696029789,2.285901374965175e-16,0.04982605466613565,False
PS3_rms,0.07256235827664399,0.047253187410013935,0.09677352340425277,-2.44450466419734e-16,0.09672323043413554,True
TS3_kurt,0.06065759637188209,0.14548714958420597,0.09134261793230572,1.3997369652870454e-16,0.06570117958372688,False
VS1_ptp,0.0935374149659864,0.003991030574549769,0.09128473712014737,-2.8901043815638997e-16,-0.08130984632624363,True
PS2_ptp,0.07256235827664399,0.047253187410013935,0.09083385800760753,6.1568286372410045e-15,0.07967552348355979,True
PS2_max,0.07256235827664399,0.047253187410013935,0.09083385800760753,6.1568286372410045e-15,0.07967552348355979,True
VS1_std,0.07993197278911565,0.0212937303817154,0.089304845401497,-1.3201835694182133e-15,-0.08259373256604126,True
PS3_skew,0.07426303854875284,0.039583678537163054,0.08883020524264175,2.4419871516698455e-17,-0.08864719014823284,True
TS2_ptp,0.06859410430839002,0.07030121934767267,0.08854935023649105,-7.04903507698512e-17,-0.07983933061725264,False
PS6_ptp,0.05045351473922902,0.32397561786140966,0.08762678670273095,-3.56278372891048e-15,-0.014371591440996537,False
FS2_kurt,0.045351473922902494,0.4547560502186122,0.08725051409185859,4.4308220483906476e-17,0.07596685310900986,False
TS1_kurt,0.051587301587301584,0.29871647142040814,0.08572970559586662,-1.611208017596599e-17,-0.07692564990601702,False
PS4_trend,0.03798185941043084,0.6802360469901694,0.08469945401202368,4.028020043991498e-18,0.08017950607033429,False
PS3_mean,0.07596371882086168,0.03302309682596674,0.08448755282034201,1.0724603367127362e-16,0.08433534221630105,True
PS5_ptp,0.04421768707482993,0.4873123719141046,0.07791405400280062,-3.99378187361757e-15,-0.030752831911041823,False
TS1_trend,0.06802721088435375,0.07427063752334633,0.07743376933581199,2.014010021995749e-18,-0.012632539154254366,False
TS3_skew,0.053854875283446714,0.25243508297595646,0.07582686853817779,-9.440671978105072e-17,0.07028431196453122,False
PS4_kurt,0.051587301587301584,0.29871647142040814,0.07571036342764968,4.0280200439914976e-17,0.07557915076461559,False
PS5_std,0.053854875283446714,0.25243508297595646,0.07211246119380114,-2.3233619613742958e-14,-0.00487502664889805,False
FS1_kurt,0.03798185941043084,0.6802360469901694,0.07069380845414058,-1.6313481178165566e-16,-0.03258703598003844,False
TS4_std,0.04931972789115646,0.3506504085561101,0.07039921606469651,-7.935199486663251e-16,-0.0661332409375947,False
TS3_trend,0.05328798185941043,0.263480065681312,0.06959751341297504,1.5105075164968118e-17,-0.015152919236819941,False
PS4_skew,0.07539682539682539,0.03509528253701764,0.06709525657756811,-4.229421046191072e-17,0.06170541924713692,True
VS1_kurt,0.049886621315192746,0.3371366724412234,0.06565338404246353,2.0140100219957488e-17,-0.05632261173103569,False
PS1_trend,0.04421768707482993,0.4873123719141046,0.06540857252881316,8.056040087982996e-18,0.05475685352828682,False
PS6_trend,0.04421768707482993,0.4873123719141046,0.06519734969163525,-8.056040087982996e-18,0.0017929880713403582,False
TS2_trend,0.05272108843537415,0.27487368720135313,0.06492963151692506,8.056040087982996e-18,-0.02823893846801628,False
PS6_std,0.06405895691609978,0.10770519632859851,0.06491519771462576,-2.2351483224108822e-14,0.004227206483535062,False
PS5_trend,0.04081632653061224,0.5906679850231177,0.06475179723448053,7.04903507698512e-17,0.001304079167055692,False
TS2_kurt,0.03458049886621315,0.7848567480121535,0.06402229736917414,-6.605952872146056e-16,0.04256495903119683,False
TS4_ptp,0.041383219954648526,0.5729794749973092,0.06285349636427567,-3.1619957345333256e-16,-0.05788001270307114,False
PS6_kurt,0.04705215419501134,0.40816438318141446,0.06242763451926522,-7.451837081384271e-17,0.0431537706294776,False
PS2_trend,0.05328798185941043,0.263480065681312,0.06235984879433358,-8.056040087982996e-18,0.05142070292063491,False
VS1_trend,0.04705215419501134,0.40816438318141446,0.06225646275675297,2.0542902224356639e-16,-0.0028719053624838963,False
TS4_trend,0.054988662131519275,0.2313777843308661,0.0622079021364265,1.2084060131974493e-17,0.005792622465331993,False
CP_ptp,0.03968253968253968,0.6263750634936159,0.06068291113932627,-1.1379156624275981e-15,-0.027889135071957394,False
SE_ptp,0.05668934240362812,0.2023106437299032,0.06011172620011771,-2.9646227523777423e-15,-0.03656670979969268,False
SE_max,0.05668934240362812,0.2023106437299032,0.06011172620011771,-2.9646227523777423e-15,-0.03656670979969268,False
CP_trend,0.05272108843537415,0.27487368720135313,0.05980250420141349,4.229421046191072e-17,-0.031285612990828306,False
FS2_trend,0.05442176870748299,0.24173556285944778,0.059662724564627685,4.0280200439914976e-17,-0.012346218683786965,False
CE_trend,0.04931972789115646,0.3506504085561101,0.0591358800089762,6.042030065987246e-18,-0.019538480406652847,False
TS2_skew,0.04365079365079365,0.5039959668793611,0.05887983670936433,7.653238083583846e-17,-0.03511597237156789,False
PS3_trend,0.05668934240362812,0.2023106437299032,0.058776403180313574,-2.2154110241953238e-17,-0.037460659848502366,False
PS1_mean,0.06235827664399093,0.12543840284910743,0.05860378864575544,2.839754131014006e-15,0.01819618445093065,False
EPS1_trend,0.04251700680272109,0.5380822604235697,0.05707403724460641,1.409807015397024e-17,0.038979916133786374,False
FS1_trend,0.035147392290249435,0.7680248468887392,0.056420969201131266,-1.8126090197961738e-17,-0.04530142330985897,False
PS1_rms,0.06235827664399093,0.12543840284910743,0.05641074533186849,-6.042030065987246e-16,0.015539588987184884,False
PS4_ptp,0.06746031746031746,0.07842834176802102,0.056310894896961276,2.819614030794048e-17,-0.043461852844189734,False
CE_ptp,0.036848072562358274,0.7158772079871982,0.05547513776931786,-1.8327491200161313e-16,-0.01944003640095654,False
